productName,productSize,weightType,basePrice
Adobo Seasoning,36,oz,$6.23 
"Allspice, Ground",18,oz,$6.54 
"Allspice, Whole",12,oz,$6.40 
Ancho Powder,16,oz,$4.63 
Ancho Powder 5lb,80,oz,$17.60 
"Anise Seed, Ground",16,oz,$7.14 
"Anise Seed, Whole",16,oz,$6.30 
Anise Star ,8,oz,$5.68 
Annatto Seed,20,oz,$5.26 
Apple Pie Spice,16,oz,$6.16 
Arrowroot,18,oz,$4.22 
"Basil, Cut & Sifted",6,oz,$2.94 
"Basil, Cut & Sifted 1.75lb",28,oz,$7.84 
"Basil, Ground",10,oz,$4.33 
"Bay Leaves, Premium",2,oz,$2.94 
"Bay Leaves, Premium",10,oz,$7.16 
Blackening Seasoning,24,oz,$7.01 
Blackening Seasoning 6lb,96,oz,$21.60 
"Blackening Seasoning, HOT",20,oz,$6.91 
Buttermilk Powder 5lb,80,oz,$26.24 
Cajun Seasoning,22,oz,$6.30 
Cajun Seasoning 25lb,400,oz,$73.32 
Cajun Seasoning 6lb,96,oz,$21.67 
"Caraway, Whole",12,oz,$5.34 
"Cardamon, Ground",16,oz,$16.01 
"Cardamon, Whole",24,oz,$14.34 
Caribbean Jerk,16,oz,$4.84 
Caribbean Jerk 5lb,80,oz,$16.14 
Celery Salt,31,oz,$4.25 
Celery Salt 8lb,128,oz,$11.14 
Celery Seed 1lb,16,oz,$4.50 
Celery Seed 25lb,400,oz,$50.40 
Celery Seed 5lb,80,oz,$13.34 
Chervil,3,oz,$4.56 
Chili Powder,18,oz,$5.93 
Chili Powder 25lb,400,oz,$89.98 
Chili Powder 6lb,96,oz,$25.04 
Chipolte Powder Pure '5',16,oz,$9.90 
Chipolte Powder Pure '5' 5lb,80,oz,$44.40 
"Chives, Freeze-Dried",3,oz,$5.26 
"Chives, Freeze-Dried",12,oz,$14.70 
Cilantro,4,oz,$4.45 
Cinnamon,18,oz,$5.51 
Cinnamon 25lb,400,oz,$63.28 
Cinnamon 5lb,80,oz,$15.98 
Cinnamon Sticks,9,oz,$5.40 
Cinnamon Sticks 3lb,48,oz,$15.17 
"Cloves, Ground",20,oz,$15.54 
"Cloves, Whole",14,oz,$12.00 
"Coriander, Ground",16,oz,$4.55 
"Coriander, Whole",9,oz,$3.94 
"Coriander, Whole 3lb",48,oz,$10.70 
Cream of Tartar,36,oz,$13.14 
Creole Seasoning,24,oz,$6.40 
"Cumin, Ground",18,oz,$5.92 
"Cumin, Ground 25lb",400,oz,$86.40 
"Cumin, Ground 5lb",80,oz,$19.19 
"Cumin, Whole",16,oz,$5.39 
"Cumin, Whole 4lb",64,oz,$17.40 
Curry Powder,18,oz,$5.15 
Curry Powder 5lb,80,oz,$14.40 
"Curry Powder, Jamaican",22,oz,$5.89 
Dill Seed,16,oz,$5.17 
Dill Weed,6,oz,$5.14 
Dill Weed 1.5lb,24,oz,$15.54 
Fajita Seasoning,24,oz,$9.47 
"Fennel, Ground",14,oz,$4.32 
"Fennel, Whole",15,oz,$4.43 
"Fennel, Whole 4lb",64,oz,$12.20 
Fenugreek,18,oz,$7.37 
Five Spice,16,oz,$6.08 
Garam Masala,18,oz,$5.44 
Garlic Minced 7lb,112,oz,$42.27 
Garlic Powder ,20,oz,$7.84 
Garlic Powder 25lb,400,oz,$128.81 
Garlic Powder 6lb,96,oz,$28.49 
